Rk,Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,Pos Summary,Name-additional
1,CJ Abrams*,21,TOT,NL,84,281,263,32,64,11,2,2,21,6,4,5,46,.243,.280,.323,.603,75,85,5,9,2,2,0,64/H9D,abramcj01
2,Albert Abreu,26,TOT,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,abreual01
3,José Abreu,35,CHW,AL,152,659,584,84,178,37,0,15,74,0,0,60,109,.305,.378,.445,.823,133,260,18,11,0,4,2,*3D,abreujo02
4,Ronald Acuna Jr.,24,ATL,NL,114,512,449,69,120,24,0,15,49,28,11,50,120,.267,.352,.421,.772,115,189,8,10,0,3,3,9D/H8,acunaro01
5,Willy Adames,26,MIL,NL,133,589,535,83,128,31,0,31,96,8,2,49,157,.239,.302,.471,.773,116,252,11,1,0,4,3,*6/DH,adamewi01
6,Riley Adams,26,WSN,NL,44,143,131,12,23,4,0,4,8,0,1,11,39,.176,.245,.298,.542,57,39,2,1,0,0,0,2/HD3,adamsri03
7,Jo Adell,23,LAA,AL,81,258,243,19,54,11,1,7,23,4,2,10,95,.222,.261,.362,.623,75,88,6,3,0,1,0,79H/D,adelljo01
8,Ehire Adrianza#,32,TOT,NL,36,105,92,8,16,3,0,0,7,1,0,11,24,.174,.267,.207,.473,40,19,2,1,0,1,0,5/74H6D1,adriaeh01
9,Jesus Aguilar,32,TOT,MLB,127,502,459,38,107,18,0,16,51,1,0,28,118,.233,.280,.377,.657,85,173,8,4,0,5,1,3D/H5,aguilje01
10,Ryan Aguilar*,27,LAA,AL,7,26,22,2,3,1,0,0,2,0,0,2,14,.136,.231,.182,.413,20,4,0,1,0,1,0,/9738,aguilry01
11,Nick Ahmed,32,ARI,NL,17,54,52,7,12,2,0,3,7,0,1,2,15,.231,.259,.442,.702,95,23,2,0,0,0,0,6/HD,ahmedni01
12,Hanser Alberto,29,LAD,NL,69,153,151,13,34,8,2,2,14,0,1,2,25,.225,.235,.344,.580,57,52,7,0,0,0,0,4H5/1D639,alberha01
13,Ozzie Albies#,25,ATL,NL,64,269,247,36,61,16,0,8,35,3,5,16,47,.247,.294,.409,.703,94,101,0,2,0,4,0,4/H,albieoz01
14,Sergio Alcantara#,25,TOT,NL,88,205,188,25,41,6,1,5,22,1,2,11,54,.218,.261,.340,.602,71,64,4,1,2,3,0,564H/D,alcanse01
15,Scott Alexander*,32,SFG,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,1,alexasc02
16,Jorge Alfaro,29,SDP,NL,79,271,253,25,63,14,0,7,40,1,0,11,97,.249,.288,.387,.675,96,98,5,4,0,3,0,2D/H,alfarjo01
17,Anthony Alford,27,PIT,NL,2,4,4,0,1,0,0,0,0,0,0,0,2,.250,.250,.250,.500,42,1,0,0,0,0,0,/879,alforan01
18,Austin Allen*,28,OAK,AL,5,16,14,1,1,0,0,0,0,0,0,1,9,.071,.188,.071,.259,-20,1,1,1,0,0,0,/2D,allenau01
19,Greg Allen#,29,PIT,NL,46,134,118,17,22,4,0,2,8,8,2,10,42,.186,.260,.271,.531,51,32,2,2,3,1,0,798H/D,allengr01
20,Nick Allen,23,OAK,AL,93,300,275,28,58,12,0,3,16,3,2,18,62,.211,.262,.287,.549,61,79,5,1,6,0,0,64/H,allenni02
21,Abraham Almonte#,33,BOS,AL,10,21,20,6,7,1,0,1,2,0,0,1,5,.350,.381,.550,.931,155,11,1,0,0,0,0,/H8D7,almonab01
22,Albert Almora,28,CIN,NL,64,235,215,26,48,10,1,5,29,3,2,17,46,.223,.282,.349,.631,70,75,9,1,1,1,0,987/HD,almoral01
23,Pete Alonso,27,NYM,NL,155,666,582,92,156,27,0,40,131,5,1,63,128,.268,.347,.521,.867,145,303,16,12,0,9,16,*3D,alonspe01
24,Jose Altuve,32,HOU,AL,136,587,511,100,152,35,0,28,57,18,1,65,86,.297,.387,.530,.917,159,271,13,10,0,1,2,*4/HD,altuvjo01
25,Jose Alvarado*,27,PHI,NL,1,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1,alvarjo03
26,Eddy Alvarez*,32,LAD,NL,14,27,25,1,4,0,0,0,3,1,0,0,9,.160,.154,.160,.314,-13,4,1,0,1,1,0,/59HD76,alvared01
27,Yordan Alvarez*,25,HOU,AL,129,538,448,92,136,24,2,37,96,1,1,77,100,.304,.407,.614,1.021,187,275,12,6,0,7,9,D7/H,alvaryo01
28,Brian Anderson,29,MIA,NL,94,366,323,41,75,16,1,8,28,1,0,35,94,.232,.320,.362,.682,94,117,7,7,0,1,2,59/7DH4,anderbr06
29,Tim Anderson,29,CHW,AL,79,351,332,50,100,13,0,6,25,13,0,14,55,.301,.339,.395,.734,107,131,10,5,0,0,1,6,anderti01
30,Tyler Anderson*,32,LAD,NL,2,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,-100,0,0,0,0,0,0,1/H,anderty01
31,Elvis Andrus,33,TOT,AL,142,547,507,62,126,31,0,14,52,15,4,38,89,.249,.303,.393,.696,100,199,11,2,0,0,0,*6/HD,andruel01
32,Miguel Andujar,27,TOT,MLB,30,113,107,10,26,4,0,1,13,4,1,4,26,.243,.265,.308,.574,63,33,0,0,0,2,0,7D/H3,andujmi01
33,Mark Appel,30,PHI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0,/1,appelma01
